Time,Temp1,Temp2,FlowRate,Heater,Cooler,Setpoint,PumpSpeed
2025-07-15 09:50:56.839968,35.19,35.5,3.7,0.0,100.0,36.0,255.0
2025-07-15 09:50:58.355154,35.19,35.5,7.91,3.98,0.0,36.0,255.0
2025-07-15 09:50:59.870744,35.19,35.5,4.7,4.0,0.0,36.0,0.0
2025-07-15 09:51:01.386087,35.19,35.5,13.0,4.02,0.0,36.0,255.0
2025-07-15 09:51:02.897789,35.25,35.44,8.78,4.04,0.0,36.0,7.0
2025-07-15 09:51:04.409045,35.25,35.44,2.61,4.06,0.0,36.0,0.0
2025-07-15 09:51:05.928005,35.31,35.44,10.96,57.69,0.0,45.0,255.0
2025-07-15 09:51:07.440136,35.38,35.44,7.17,38.6,0.0,45.0,0.0
2025-07-15 09:51:08.959312,35.38,35.56,10.83,38.07,0.0,45.0,255.0
2025-07-15 09:51:10.476660,35.44,35.69,4.09,37.89,0.0,45.0,0.0
2025-07-15 09:51:11.986508,35.5,35.81,3.57,37.7,0.0,45.0,45.0
2025-07-15 09:51:13.501429,35.56,35.94,4.96,37.51,0.0,45.0,219.0
2025-07-15 09:51:15.021244,35.69,36.06,6.17,36.88,0.0,45.0,254.0
2025-07-15 09:51:16.536556,35.81,36.25,9.52,36.12,0.0,45.0,255.0
2025-07-15 09:51:18.047641,35.94,36.5,3.35,35.23,0.0,45.0,0.0
2025-07-15 09:51:19.563482,36.06,36.69,7.48,35.09,0.0,45.0,255.0
2025-07-15 09:51:21.078784,36.25,36.88,4.48,34.2,0.0,45.0,0.0
2025-07-15 09:51:22.593881,36.38,37.13,6.74,33.61,0.0,45.0,255.0
2025-07-15 09:51:24.105372,36.63,37.38,4.65,32.15,0.0,45.0,0.0
2025-07-15 09:51:25.621799,36.81,37.56,3.04,32.18,0.0,45.0,0.0
2025-07-15 09:51:27.136559,37.06,37.81,4.65,30.71,0.0,45.0,222.0
2025-07-15 09:51:28.651830,37.25,38.0,6.57,30.73,0.0,45.0,255.0
2025-07-15 09:51:30.167644,37.5,38.19,9.04,29.69,0.0,45.0,255.0
2025-07-15 09:51:31.683226,37.69,38.38,2.87,29.39,0.0,45.0,0.0
2025-07-15 09:51:33.204637,37.94,38.75,10.39,27.02,0.0,45.0,255.0
2025-07-15 09:51:34.714018,38.13,39.0,3.17,27.21,0.0,45.0,0.0
2025-07-15 09:51:36.228907,38.31,39.25,8.65,26.46,0.0,45.0,255.0
2025-07-15 09:51:37.745772,38.56,39.5,12.09,25.27,0.0,45.0,255.0
2025-07-15 09:51:39.260315,38.81,39.63,2.78,25.26,0.0,45.0,0.0
2025-07-15 09:51:40.775276,39.06,39.88,11.78,23.74,0.0,45.0,255.0
2025-07-15 09:51:42.291729,39.31,40.06,2.39,23.29,0.0,45.0,0.0
2025-07-15 09:51:43.806532,39.5,40.31,11.52,22.51,0.0,45.0,255.0
2025-07-15 09:51:45.321870,39.75,40.5,6.65,21.74,0.0,45.0,0.0
2025-07-15 09:51:46.837565,39.94,40.75,5.87,20.96,0.0,45.0,123.0
2025-07-15 09:51:48.353720,40.13,40.94,5.74,20.61,0.0,45.0,159.0
2025-07-15 09:51:49.872332,40.31,41.19,8.17,19.5,0.0,45.0,255.0
2025-07-15 09:51:51.388187,40.5,41.31,7.22,19.59,0.0,45.0,164.0
2025-07-15 09:51:52.903129,40.75,41.56,8.57,17.73,0.0,45.0,255.0
2025-07-15 09:51:54.418426,40.94,41.88,4.96,16.8,0.0,45.0,0.0
2025-07-15 09:51:55.934108,41.19,42.13,9.61,15.86,0.0,45.0,255.0
2025-07-15 09:51:57.449684,41.44,42.38,7.83,14.93,0.0,45.0,136.0
2025-07-15 09:51:58.964762,41.69,42.63,5.13,13.98,0.0,45.0,0.0
2025-07-15 09:52:00.480341,41.88,42.75,8.52,14.35,0.0,45.0,255.0
2025-07-15 09:52:01.992488,42.13,42.94,6.35,12.9,0.0,45.0,57.0
2025-07-15 09:52:03.507772,42.31,43.13,3.65,12.51,0.0,45.0,0.0
2025-07-15 09:52:05.022777,42.56,43.31,6.61,11.36,0.0,45.0,255.0
2025-07-15 09:52:06.538179,42.75,43.56,4.74,10.52,0.0,45.0,15.0
2025-07-15 09:52:08.053757,42.94,43.81,7.3,9.68,0.0,45.0,255.0
2025-07-15 09:52:09.565625,43.19,44.06,4.0,8.4,0.0,45.0,0.0
2025-07-15 09:52:11.078175,43.44,44.31,6.52,7.42,0.0,45.0,255.0
2025-07-15 09:52:12.592305,43.69,44.5,8.83,6.87,0.0,45.0,255.0
2025-07-15 09:52:14.107106,43.88,44.69,3.7,6.45,0.0,45.0,0.0
2025-07-15 09:52:15.627038,44.13,44.94,9.65,4.83,0.0,45.0,255.0
2025-07-15 09:52:17.134397,44.38,45.19,9.13,3.84,0.0,45.0,255.0
2025-07-15 09:52:18.650046,44.56,45.38,7.7,3.71,0.0,45.0,157.0
2025-07-15 09:52:20.161641,44.81,45.75,2.91,1.21,0.0,45.0,0.0
2025-07-15 09:52:21.676443,45.0,46.13,4.13,0.39,0.0,45.0,189.0
2025-07-15 09:52:23.188230,45.25,46.25,9.52,0.56,0.0,45.0,255.0
2025-07-15 09:52:24.703686,45.44,46.38,8.26,0.23,0.0,45.0,190.0
2025-07-15 09:52:26.317484,45.63,46.5,3.78,0.0,0.42,45.0,0.0
2025-07-15 09:52:27.931587,45.88,46.69,5.13,0.0,1.94,45.0,238.0
2025-07-15 09:52:29.544216,46.13,46.94,3.13,0.0,3.29,45.0,0.0
2025-07-15 09:52:31.158341,46.38,47.13,6.74,0.0,3.89,45.0,255.0
2025-07-15 09:52:32.772066,46.63,47.38,6.61,0.0,5.24,45.0,199.0
2025-07-15 09:52:34.386080,46.88,47.56,7.13,0.0,5.84,45.0,255.0
2025-07-15 09:52:35.999943,47.06,47.75,7.17,0.0,6.33,45.0,234.0
2025-07-15 09:52:37.619545,47.25,47.88,7.04,0.0,6.69,45.0,217.0
2025-07-15 09:52:39.231166,47.44,48.0,6.74,0.0,7.37,45.0,196.0
2025-07-15 09:52:40.841215,47.63,48.06,4.04,0.0,7.62,45.0,0.0
2025-07-15 09:52:42.454265,47.75,48.13,3.91,0.0,7.74,45.0,99.0
2025-07-15 09:52:44.068254,47.88,48.19,4.57,0.0,8.17,45.0,173.0
2025-07-15 09:52:45.687201,47.94,48.19,8.61,0.0,7.74,45.0,255.0
2025-07-15 09:52:47.296028,48.0,48.25,4.74,0.0,8.36,45.0,0.0
2025-07-15 09:52:48.909730,48.06,48.25,9.65,0.0,8.24,45.0,255.0
2025-07-15 09:52:50.523302,48.13,48.25,5.7,0.0,8.43,45.0,0.0
2025-07-15 09:52:52.133132,48.19,48.25,4.3,0.0,8.61,45.0,35.0
2025-07-15 09:52:53.757511,48.19,48.25,5.74,0.0,8.37,45.0,255.0
2025-07-15 09:52:55.364315,48.19,48.25,6.61,0.0,8.43,45.0,255.0
2025-07-15 09:52:56.974198,48.19,48.25,5.0,0.0,8.5,45.0,48.0
2025-07-15 09:52:58.588162,48.25,48.19,3.17,0.0,8.56,45.0,0.0
2025-07-15 09:53:00.202009,48.19,48.19,8.61,0.0,8.19,45.0,255.0
2025-07-15 09:53:01.822076,48.25,48.19,9.35,0.0,9.0,45.0,255.0
2025-07-15 09:53:03.433391,48.19,48.19,8.96,0.0,8.31,45.0,255.0
